,Unnamed: 0,source_id_douglas,EPIC,ra_douglas,dec_douglas,G,G_err,bp,bp_err,rp,rp_err,parallax_douglas,parallax_err,[RSP2011],HIP,RAJ2000,DEJ2000,2MASS,Kpmag,Mass,Bin,Ap,lc,IPer,IPw,I99.9,Q,mPer,use,K2Per,K2Pw,Amp,Ng,Bl,Lit,Binary,RA_deg,DE_deg,prot,designation,source_id,gaia_ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_primary_flag,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,phot_variable_flag,l,b,ecl_lon,ecl_lat,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,epic_number,ra_epic,dec_epic,r_est,r_lo,r_hi,r_length_prior,r_result_flag,r_modality_flag,tm_name,k2_campaign_str,k2_type,k2_lcflag,k2_scflag,k2_teff,k2_tefferr1,k2_tefferr2,k2_logg,k2_loggerr1,k2_loggerr2,k2_metfe,k2_metfeerr1,k2_metfeerr2,k2_rad,k2_raderr1,k2_raderr2,k2_mass,k2_masserr1,k2_masserr2,k2_kepmag,k2_kepmagerr,k2_kepmagflag,k2c_disp,k2c_note,k2_gaia_ang_dist,period,bprp,age_gyr
0,0,38329666836450304,210365286,59.56042372775033,12.627970698425887,15.111156,0.002,17.014067,0.2,13.799520999999999,0.01,21.94614820383863,0.10251905075692776,  104,     ,03 58 14.3,+12 37 40.8,03581434+1237408,14.1,0.17,0,5.0,det,0.8686,0.2837,0.0096,0,N,corr,0.8686,0.3102,0.0028255,Y,Y,0,,59.55958333333333,12.628,0.8686,Gaia DR2 38329666836450304,3.83296668364503e+16,2015.5,59.56042372775033,0.09868401755145721,12.627970698425889,0.05521764845803914,21.94614820383863,0.10251905075692777,214.0689697265625,129.43544721820507,0.2611594813797639,-12.309865363917165,0.13758039408131953,-0.09581004083156586,0.007955511100590229,0.15841934084892273,-0.15328188240528107,0.16651307046413422,-0.20002669095993042,0.5757664442062378,-0.02357446774840355,0.056147173047065735,-0.1891101747751236,1524.25341796875,0.5946811380462185,52.36014078460282,0.0,0.0,17017.021516935332,7.822960373723365,15.111156463623047,2162.3614057960326,10.214138597784247,17.014066696166992,24263.8287519821,40.45028206947003,13.799521446228027,3.214545249938965,1.9029102325439453,1.3116350173950195,0.0,,NOT_AVAILABLE,177.79960236027384,-29.72964165506195,60.07419818878606,-7.7050500186826,3541.236572265625,3285.666748046875,4002.074951171875,0.3930000066757202,0.23260000348091125,0.7979999780654907,0.24500000476837158,0.1573999971151352,0.499099999666214,,,,,,,210365286.0,59.559928,12.628021,45.5078184385164,45.2948914944233,45.7227207871871,399.787796573485,1.0,1.0,2MASS J03581434+1237408,4,STAR,1.0,0.0,3538.0,123.0,-147.0,5.03,0.08,-0.05,0.002,0.12,-0.15,0.25,0.04,-0.06,0.24,0.07,-0.08,14.096,999999.0,JHK,N/A,N/A,0.26497774781618144,0.8686,3.214545249938965,0.7
1,1,3304478125929665152,210371851,62.777380740842474,12.796658123009875,16.54054,0.002,18.953999,0.2,15.11915,0.01,23.04142845292586,0.12735972293840772,     ,     ,04 11 06.4,+12 47 48.2,04110642+1247481,14.92,0.14,0,5.0,raw,37.592,0.1587,0.0089,1,Y,sec ,0.8968,0.1551,0.00655,N,N,0,,62.776666666666664,12.796722222222224,0.8968,Gaia DR2 3304478125929665152,3.304478125929665e+18,2015.5,62.77738074084248,0.14695834408283254,12.796658123009877,0.07818687209592198,23.04142845292586,0.12735972293840772,180.9161376953125,132.29387626222257,0.3496118909593458,-13.270041640922713,0.20025138780811638,-0.41352367401123047,-0.23602649569511414,-0.6460424661636353,0.46577608585357666,0.09946148097515106,0.4310561716556549,-0.4645588994026184,0.457279771566391,-0.10164312273263931,-0.37482529878616333,209.298583984375,0.40436578899739734,5.730859080192586,0.0,0.0,4561.7382695442275,5.391237938105851,16.54054069519043,362.20628727340153,8.990563755123222,18.953998565673828,7196.2780336785845,27.43408339929652,15.119150161743164,3.834848403930664,2.4134578704833984,1.4213905334472656,0.0,,NOT_AVAILABLE,179.9914654356346,-27.24651265024336,63.215568939904664,-8.147240770268416,3310.0,3292.333251953125,3606.89013671875,0.4465000033378601,0.40700000524520874,0.9352999925613403,0.2809999883174896,0.26170000433921814,0.5145999789237976,,,,,,,210371851.0,62.776762,12.796713,43.3480386759747,43.1082313180282,43.5904809940733,421.642598836481,1.0,1.0,2MASS J04110642+1247481,4,STAR,1.0,0.0,3590.0,181.0,-155.0,5.01,0.09,-0.07,-0.041,0.15,-0.24,0.25,0.07,-0.06,0.27,0.11,-0.08,14.917,999999.0,JHK,N/A,N/A,0.1218574807535461,0.8968,3.834848403930664,0.7
2,5,3311464182294287104,210451321,64.48199616948583,14.546191599164754,13.771757999999998,0.002,15.280358999999999,0.01,12.565311999999999,0.002,19.06323150244385,0.0738104395210779,  210,     ,04 17 55.5,+14 32 46.5,04175555+1432464,13.86,0.3,0,4.0,det,10.1182,0.7765,0.0085,0,N,corr,10.1182,0.8654,0.0095905,Y,N,0,,64.48124999999999,14.54625,10.1182,Gaia DR2 3311464182294287104,3.3114641822942874e+18,2015.5,64.48199616948583,0.061988649380944755,14.546191599164752,0.036946793738552565,19.063231502443852,0.0738104395210779,258.2728271484375,101.31990881437268,0.1450617979409568,-16.298300070024503,0.10192998652970951,0.21495473384857178,0.13497385382652283,-0.083406463265419,0.2160625010728836,-0.053948771208524704,0.11053731292486191,-0.028413113206624985,0.284102201461792,0.2556377947330475,0.010320100001990795,714.7059326171875,0.36640121057896524,25.272183125280772,0.0,0.0,58430.961344321426,42.368580097737784,13.771758079528809,10676.072391789436,47.81447619287685,15.280359268188477,75621.12783485709,263.17875698259036,12.565312385559082,2.7150468826293945,1.508601188659668,1.2064456939697266,0.0,,NOT_AVAILABLE,179.67920411896228,-24.853749686566445,65.17356769317381,-6.720837161278126,3956.546875,3609.77490234375,4117.02685546875,0.5095000267028809,0.10220000147819519,0.8356000185012817,0.30149999260902405,0.05959999933838844,0.44110000133514404,,,,,,,210451321.0,64.48153,14.546241,52.3787974364033,52.1755512242216,52.5836049306535,443.059396279613,1.0,1.0,2MASS J04175555+1432464,4,STAR,1.0,0.0,3685.0,59.0,-74.0,4.97,0.04,-0.04,0.018,0.06,-0.1,0.32,0.03,-0.04,0.34,0.03,-0.05,13.862,999999.0,gri,N/A,N/A,0.09221306427958062,10.1182,2.7150468826293945,0.7
3,6,3311102820926310784,210459199,65.39668022047789,14.69515656171164,14.314160999999999,0.002,15.956226999999998,0.01,13.073628,0.01,20.28981925143624,0.07632174988677534,  247,     ,04 21 35.0,+14 41 42.8,04213508+1441427,14.43,0.22,0,3.0,det,3.6419,0.0549,0.0104,0,N,corr,3.6375,0.4464,0.019108,Y,M,0,,65.39583333333331,14.695222222222224,3.6375,Gaia DR2 3311102820926310784,3.311102820926311e+18,2015.5,65.39668022047789,0.07172264899347441,14.69515656171164,0.04299114610140715,20.28981925143624,0.07632174988677534,265.8458251953125,106.59803333322833,0.1514602733224181,-19.838524201769808,0.11249023405274806,-0.04634696990251541,0.2308797389268875,-0.3095591962337494,0.17404335737228394,-0.22368277609348297,0.05535222962498665,-0.29768994450569153,0.23976463079452515,0.12597978115081787,0.1252102553844452,579.9029541015625,0.3682192540144708,23.06902234257876,0.0,0.0,35455.34739624175,36.69912223420405,14.31416130065918,5728.809991786551,26.755536147883234,15.95622730255127,47349.63559769334,104.6664874919322,13.073628425598145,2.882598876953125,1.6420660018920898,1.2405328750610352,0.0,,NOT_AVAILABLE,180.17181895715203,-24.07626345452712,66.07728746558372,-6.7241869939816015,3927.469970703125,3485.0732421875,4175.240234375,0.32199999690055847,0.22100000083446503,0.7459999918937683,0.18870000541210175,0.15389999747276306,0.39329999685287476,,,,,,,210459199.0,65.396238,14.695229,49.2167714963426,49.0311984274185,49.4037294519021,452.240816789395,1.0,1.0,2MASS J04213508+1441427,4,STAR,1.0,0.0,3601.0,131.0,-87.0,5.0,0.04,-0.05,0.016,0.09,-0.12,0.28,0.04,-0.04,0.29,0.07,-0.06,14.431,999999.0,gri,N/A,N/A,0.12167767825251197,3.6375,2.882598876953125,0.7
4,7,3311906770084019712,210470484,64.36772711736377,14.90098569965624,13.276046,0.002,14.70091,0.01,12.105038,0.002,20.192264884167965,0.05278972737384675,  203,     ,04 17 28.1,+14 54 03.8,04172811+1454038,13.33,0.36,0,2.0,det,2.3883,0.1287,0.0096,1,N,corr,2.3788,0.4353,0.010794,Y,Y,0,,64.36708333333333,14.901055555555557,2.3788,Gaia DR2 3311906770084019712,3.3119067700840197e+18,2015.5,64.36772711736377,0.04808842989932991,14.90098569965624,0.029631500762207313,20.192264884167965,0.05278972737384675,382.5036926269531,105.94069757036162,0.10706308365971146,-17.240424900272103,0.08367717638130429,0.11265693604946136,0.26387619972229004,-0.2164030373096466,0.010073166340589523,-0.20237544178962708,-0.06630254536867142,-0.16390162706375122,0.1723441183567047,0.122634157538414,0.2089521884918213,599.8529663085938,0.28611419133332805,19.353874189883886,0.0,0.0,92241.82260436696,46.724968059224935,13.276045799255371,18205.022996311734,74.44453516490535,14.700909614562988,115545.48327699117,166.9068437538754,12.105037689208984,2.595871925354004,1.4248638153076172,1.1710081100463867,0.0,,NOT_AVAILABLE,179.30115634671265,-24.711324130219378,65.1257265152467,-6.352280972687431,3536.413330078125,3255.0,4079.1650390625,,,,,,,,,,,,,210470484.0,64.367251,14.901005,49.4535271444041,49.3237875459212,49.5839388811069,444.055450996636,1.0,1.0,2MASS J04172811+1454038,4,STAR,1.0,0.0,3449.0,41.0,-69.0,5.06,0.04,-0.04,0.058,0.14,-0.1,0.22,0.03,-0.02,0.21,0.03,-0.03,13.33,999999.0,gri,N/A,N/A,0.19826009467704375,2.3788,2.595871925354004,0.7
5,8,3311934086075988864,210489127,64.46559686579155,15.227066463357511,14.246441,0.002,15.88909,0.01,13.003492,0.01,21.00398356796783,0.06439491917846847,  209,     ,04 17 51.6,+15 13 37.7,04175160+1513378,14.35,0.25,0,3.5,det,3.6463,0.4932,0.0086,0,N,corr,3.6508,0.6701,0.005407,Y,N,0,,64.46499999999999,15.227138888888891,3.6508,Gaia DR2 3311934086075988864,3.311934086075989e+18,2015.5,64.46559686579155,0.05812659942410229,15.227066463357511,0.03838118623335799,21.00398356796783,0.06439491917846847,326.174560546875,109.70726802867266,0.1280618223994958,-21.654757814095582,0.10118846114542814,0.07105830311775208,0.2409227192401886,-0.2204762101173401,0.14552931487560272,-0.19498670101165771,0.04510682448744774,-0.27737611532211304,0.17337337136268616,0.13841064274311066,0.20539943873882294,664.0635986328125,0.3488181839026754,22.723480151780116,0.0,0.0,37737.21271314697,22.28942526328102,14.246440887451172,6094.238881003636,25.674452069847895,15.889089584350586,50509.25057849031,96.01288251548037,13.00349235534668,2.8855972290039062,1.642648696899414,1.2429485321044922,0.0,,NOT_AVAILABLE,179.0930846528243,-24.429452063162337,65.27603116971017,-6.047433173188346,3937.057373046875,3585.8701171875,4074.990234375,0.32499998807907104,0.2590000033378601,0.6003999710083008,0.1889999955892563,0.15399999916553497,0.34209999442100525,,,,,,,210489127.0,64.465092,15.227127,47.5452161556105,47.3989979399903,47.6923231532721,446.791163191771,1.0,1.0,2MASS J04175160+1513378,4,STAR,1.0,0.0,3121.0,187.0,-62.0,5.16,0.04,-0.02,0.078,0.05,-0.3,0.16,0.01,-0.01,0.13,0.01,-0.01,14.352,999999.0,gri,N/A,N/A,0.12919687703399815,3.6508,2.8855972290039062,0.7
6,14,46458115782368384,210579563,59.813187812165076,16.664310584059972,14.344322,0.002,16.08111,0.01,13.074967,0.01,23.87606458689895,0.08596949804080778,  111,     ,03 59 15.0,+16 39 51.9,03591499+1639520,14.52,0.2,0,3.5,det,1.2774,0.7753,0.0091,0,N,corr,1.2774,0.7883,0.005336,Y,N,0,,59.8125,16.664416666666664,1.2774,Gaia DR2 46458115782368384,4.645811578236838e+16,2015.5,59.813187812165076,0.07816048110406841,16.664310584059972,0.045007772118889684,23.876064586898945,0.08596949804080778,277.7271728515625,141.05229445684245,0.1813961235413206,-26.515975311356158,0.1168440212178066,0.21361637115478516,0.18167690932750702,-0.01024993322789669,0.12836101651191711,-0.072902150452137,0.17899037897586823,0.6203466653823853,0.02145307883620262,-0.18235428631305695,0.24861931800842285,1920.6575927734375,0.5115314150129304,60.63259399366416,0.0,0.0,34483.98454564907,14.462812786120983,14.344322204589844,5106.359862662129,17.603537338239402,16.08111000061035,47291.268457965074,45.35236209903086,13.074967384338379,3.0061426162719727,1.7367877960205078,1.2693548202514648,0.0,,NOT_AVAILABLE,174.60770820397246,-26.822139494207956,61.13385820749148,-3.801120946145689,3956.35009765625,3735.95263671875,4305.634765625,0.33899998664855957,0.19030000269412994,0.6980999708175659,0.21199999749660492,0.11069999635219574,0.4113999903202057,,,,,,,210579563.0,59.812612,16.664426,41.8331686402096,41.6821277903355,41.9852885058949,426.161469661964,1.0,1.0,2MASS J03591499+1639520,4,STAR,1.0,0.0,3584.0,106.0,-106.0,5.0,0.06,-0.04,0.009,0.15,-0.15,0.27,0.05,-0.06,0.28,0.07,-0.08,14.52,999999.0,gri,N/A,N/A,0.20049864314944466,1.2774,3.0061426162719727,0.7
7,19,3314079508140198528,210674406,66.07108444189181,18.002788452502564,9.645082,0.0003,10.221438000000001,0.002,8.963739,0.002,21.403400079114228,0.0428075449678625,  288,20563,04 24 16.8,+18 00 10.7,04241691+1800107,9.77,0.92,0,6.5,det,11.4703,0.5929,0.009000000000000001,0,N,corr,11.4703,0.6378,0.004471,Y,Y,0,,66.07000000000001,18.002972222222226,11.4703,Gaia DR2 3314079508140198528,3.3140795081401984e+18,2015.5,66.07108444189181,0.040680587824492624,18.002788452502564,0.02182586731541984,21.403400079114224,0.0428075449678625,499.9913024902344,110.91624454781004,0.07801563221203098,-30.795505633484456,0.06191369959908729,0.359488844871521,0.44896888732910156,-0.32353827357292175,0.056787244975566864,0.10836296528577805,-0.10755623131990433,-0.608202338218689,0.08154253661632538,0.2642103135585785,0.27957674860954285,495.86077880859375,0.0,0.0,1.0,0.0,2614046.6931490744,609.9761034725127,9.645082473754883,1127145.0905215824,1101.8740717371832,10.22143840789795,2085797.374595421,2043.1365787142524,8.963739395141602,1.2576990127563477,0.5763559341430664,0.6813430786132812,39.44363317489129,0.18026122086869295,NOT_AVAILABLE,177.8585097398531,-21.466538534622686,67.26347917104505,-3.567654721300049,4773.81982421875,4738.5546875,4827.099609375,0.1835000067949295,0.07919999957084656,0.3043999969959259,0.09669999778270721,0.029899999499320984,0.13899999856948853,0.7502694725990295,0.7337984442710876,0.7614783048629761,0.26338639855384827,0.26262885332107544,0.2641439437866211,210674406.0,66.070587,18.002914,46.6586844812071,46.5649766519492,46.7527635054997,482.479200122603,1.0,1.0,2MASS J04241691+1800107,4,STAR,1.0,0.0,4894.0,98.0,-78.0,4.6,0.02,-0.02,0.054,0.1,-0.14,0.75,0.03,-0.03,0.82,0.03,-0.03,9.768,999999.0,gri,N/A,N/A,0.030047076325599123,11.4703,1.2576990127563477,0.7
8,20,47715063730746880,210700098,64.64156503063818,18.36458790641837,14.620120000000002,0.002,16.371695000000003,0.01,13.345791,0.01,21.852025759473303,0.11043735829794801,  220,     ,04 18 33.8,+18 21 52.9,04183382+1821529,13.84,0.19,0,5.0,det,2.3381,0.8682,0.0088,0,N,corr,2.3381,0.8837,0.0095445,N,N,0,,64.64083333333333,18.36469444444445,2.3381,Gaia DR2 47715063730746880,4.771506373074688e+16,2015.5,64.64156503063818,0.09189626087733643,18.364587906418375,0.04197596642925296,21.852025759473303,0.110437358297948,197.86805725097656,116.59591215201465,0.1654348264598411,-31.196987674769858,0.11338753067693909,-0.0310920849442482,0.4910036325454712,0.0555625781416893,0.38602301478385925,-0.2257852554321289,0.0774558037519455,-0.17031216621398926,0.3818560838699341,0.3686009347438812,0.09821800887584686,719.3983154296875,0.3954396049617214,22.716573472248864,0.0,0.0,26748.43834137744,15.442657310042616,14.62012004852295,3907.3030997954475,19.76878515166385,16.371694564819336,36851.206326514046,59.219521440526634,13.34579086303711,3.0259037017822266,1.7515745162963867,1.2743291854858398,0.0,,NOT_AVAILABLE,176.6121332174388,-22.264948791363405,65.98223235910427,-2.9852601736419535,4087.3798828125,3606.43505859375,4348.25,0.4749999940395355,0.37290000915527344,0.7214000225067139,0.2906999886035919,0.2159000039100647,0.423799991607666,,,,,,,210700098.0,64.641052,18.364698,45.7039118450279,45.4726441986387,45.9375016224566,469.411906417801,1.0,1.0,2MASS J04183382+1821529,4,STAR,1.0,0.0,3439.0,123.0,-811.0,5.07,0.11,-0.07,-0.004,0.12,-0.15,0.21,0.05,-0.09,0.18,0.07,-0.08,13.837,999999.0,JHK,N/A,N/A,0.10278339717993443,2.3381,3.0259037017822266,0.7
9,21,49968306654050944,210704853,58.988852235891926,18.43215065466959,13.017425999999999,0.002,14.428410999999999,0.01,11.858597,0.002,22.867298831383373,0.06463317278407117,   99,     ,03 55 57.1,+18 25 56.2,03555715+1825564,13.11,0.37,0,5.0,det,22.7739,0.5660000000000001,0.0091,1,Y,corr,23.1244,0.616,0.006335,N,N,0,,58.98791666666666,18.432277777777774,23.1244,Gaia DR2 49968306654050944,4.996830665405094e+16,2015.5,58.98885223589192,0.060854954829150175,18.43215065466959,0.03202384412637113,22.867298831383366,0.06463317278407117,353.80126953125,136.69393434320966,0.13324378254407424,-30.89278962725063,0.08065794141495419,0.09660635888576508,0.22411096096038818,0.01765288971364498,0.07189738750457764,0.04100336879491806,0.04281125217676163,0.5244407653808594,0.15428897738456726,-0.019826730713248253,0.016339246183633804,2685.3232421875,0.39469469421719866,61.53868393689368,0.0,0.0,117051.29268610831,73.3411026529448,13.017425537109375,23398.661078917296,53.30605115076099,14.428410530090332,144987.00751358652,174.7460132008213,11.858596801757812,2.5698137283325195,1.410984992980957,1.1588287353515625,0.0,,NOT_AVAILABLE,172.57405602751155,-26.166093882838723,60.72211208915835,-1.9106579843212628,4000.614990234375,3707.416748046875,4243.52001953125,0.39800000190734863,0.1940000057220459,0.6959999799728394,0.18400000035762787,0.10499999672174454,0.38609999418258667,,,,,,,210704853.0,58.988231,18.432308,43.675842396919,43.551969552612,43.8004093131729,435.933030643755,1.0,1.0,2MASS J03555715+1825564,4,STAR,1.0,0.0,3746.0,200.0,-88.0,4.92,0.05,-0.05,0.056,0.05,-0.26,0.35,0.06,-0.04,0.38,0.08,-0.05,13.107,999999.0,gri,N/A,N/A,0.08765852620791381,23.1244,2.5698137283325195,0.7
