,Unnamed: 0,Unnamed: 0.1,source_id_rebull,EPIC,ra_rebull,dec_rebull,G,G_err,bp,rp,parallax_rebull,parallax_err,BP_err,RP_err,Name,Mass,r'mag,Kmag,Prot1,Pw1,Q1,Clean?,Sig,Prot2,Pw2,Q2,MP?,SE?,Bl?,Bin?,RawAmp,SmAmp,P,Kpmag,PrCat,PCat,All,2M,Simbad,_RA,_DE,prot,designation,source_id,gaia_ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_primary_flag,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,phot_variable_flag,l,b,ecl_lon,ecl_lat,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,epic_number,ra_epic,dec_epic,r_est,r_lo,r_hi,r_length_prior,r_result_flag,r_modality_flag,tm_name,k2_campaign_str,k2_type,k2_lcflag,k2_scflag,k2_teff,k2_tefferr1,k2_tefferr2,k2_logg,k2_loggerr1,k2_loggerr2,k2_metfe,k2_metfeerr1,k2_metfeerr2,k2_rad,k2_raderr1,k2_raderr2,k2_mass,k2_masserr1,k2_masserr2,k2_kepmag,k2_kepmagerr,k2_kepmagflag,k2c_disp,k2c_note,k2_gaia_ang_dist,period,bprp,age_gyr
0,1,10833,657785717535594112,211707676,130.22665116465976,16.016838153343745,18.955204,0.01,20.760635,17.508032,5.180182930810092,0.35051751937311737,0.2,0.2,AD 2848,0.16,20.17,14.31,0.31,0.0758,0,Y,0.008870000000000001, 0.3926, 0.0356,0,Y,M,N,    ,0.03363,0.06716,2,16.79,0,2,All,2M,Simbad,130.22681,16.016886,0.31,Gaia DR2 657785717535594112,6.577857175355941e+17,2015.5,130.22665116465976,0.27230839148299624,16.016838153343745,0.15656065363571817,5.1801829308100915,0.35051751937311737,14.778670310974121,-34.794276640029395,0.6020321147301576,-10.1914794353957,0.3254971420097868,-0.2905527353286743,0.14460068941116333,0.18311406672000885,0.09186974167823792,0.05058486759662628,0.13072218000888824,-0.5109072327613831,0.5259923934936523,-0.02988247573375702,-0.30366677045822144,402.6787109375,0.7552314586823166,1.9296764461025067,0.0,0.0,493.4747519710166,1.030603819543728,18.955204010009766,68.59637693189428,6.317559552247524,20.760635375976562,797.1775350218343,6.699989092172738,17.508031845092773,3.252603530883789,1.8054313659667969,1.4471721649169922,0.0,,NOT_AVAILABLE,209.97508291575085,31.268732949589154,128.40453922972182,-2.2213385523769733,,,,,,,,,,,,,,,,211707676.0,130.22681,16.016886,193.312510593137,180.729628053041,207.742913453442,406.682463808969,1.0,1.0,2MASS J08405443+1601007,16,STAR,1.0,0.0,,,,,,,,,,,,,,,,16.786,999999.0,J,N/A,N/A,0.017606440506327266,0.31,3.252603530883789,0.7
4,4,11433,658694566974774656,211725787,128.29854448123558,16.264239379847247,18.501085,0.01,20.369236,17.162775,5.252390474289379,0.2806747943751753,0.2,0.2,AD 1724,0.16,19.46,14.24,2.06,0.2196,0,Y,0.00866,       ,       , ,N,N,N,    ,0.055560000000000005,1.54519,2,18.73,0,2,All,2M,Simbad,128.298692,16.26428,2.06,Gaia DR2 658694566974774656,6.586945669747747e+17,2015.5,128.29854448123558,0.20015119064037318,16.264239379847243,0.14976552739748708,5.252390474289379,0.28067479437517534,18.713438034057617,-32.07260313174035,0.40214323483473835,-10.069080406121532,0.241450704011268,-0.3955008089542389,-0.0871201604604721,-0.2190472036600113,0.3574175536632538,-0.2383495271205902,0.10521181672811508,-0.34618040919303894,0.5818514227867126,-0.28539934754371643,-0.37077587842941284,259.314208984375,0.40096929131264775,0.8918053882514129,0.0,0.0,749.7420000468513,1.462741612640363,18.50108528137207,98.36961386279462,6.810364557523886,20.36923599243164,1095.6153910839432,10.239841446308608,17.16277503967285,3.206460952758789,1.8681507110595703,1.3383102416992188,0.0,,NOT_AVAILABLE,208.89197311568037,29.65011147627112,126.54831330604019,-2.4485422210427656,,,,,,,,,,,,,,,,211725787.0,128.298692,16.26428,190.176691653824,180.298394209412,201.178721789521,416.483056610947,1.0,1.0,2MASS J08331168+1615514,5,STAR,1.0,0.0,3455.0,133.0,-133.0,5.09,0.04,-0.05,-0.097,0.2,-0.24,0.2,0.03,-0.03,0.19,0.04,-0.03,18.731,999999.0,gri,N/A,N/A,0.01605600173269218,2.06,3.206460952758789,0.7
5,5,11513,657994143708820736,211727975,129.9941034742882,16.296180371314144,18.260777,0.01,19.914898,16.931046,4.925256980319537,0.21525116091100507,0.2,0.01,AD 2655,0.16,19.12,14.18,0.91,0.3663,0,Y,0.00828,       ,       , ,N,N,N,    ,0.03995,1.20584,2,17.27,0,2,All,2M,Simbad,129.994275,16.296223,0.91,Gaia DR2 657994143708820736,6.579941437088207e+17,2015.5,129.9941034742882,0.17706279206905226,16.296180371314144,0.11521786436100036,4.925256980319537,0.21525116091100507,22.88144302368164,-36.42478838556879,0.3677694321829868,-10.352922501880577,0.20914861912542043,-0.2099931240081787,-0.022757235914468765,0.209168940782547,0.2014181762933731,-0.19393493235111237,0.12031817436218262,-0.29383987188339233,0.4318699538707733,-0.11342991888523102,-0.29073646664619446,207.6996307373047,0.19851769342778341,0.27937967596367463,0.0,0.0,935.4825205911654,2.1409532918665626,18.26077651977539,149.48437163765405,12.691242302585849,19.914897918701172,1356.281060540126,8.62897040779624,16.931045532226562,2.9838523864746094,1.6541213989257812,1.3297309875488281,0.0,,NOT_AVAILABLE,209.5737537064985,31.168103971868497,128.11681310287887,-2.008618979700446,,,,,,,,,,,,,,,,211727975.0,129.994275,16.296223,202.422565579301,193.896622871365,211.717919308636,407.277845317413,1.0,1.0,2MASS J08395862+1617464,5,STAR,1.0,0.0,3988.0,363.0,-302.0,4.86,0.13,-0.13,-0.142,0.2,-0.32,0.4,0.15,-0.12,0.43,0.15,-0.15,17.268,999999.0,JHK,N/A,N/A,0.028960237015430976,0.91,2.9838523864746094,0.7
9,7,11580,658736180914476672,211729756,127.646394236977,16.321451809396436,16.144463000000002,0.002,17.544634,14.969307,6.451747430673528,0.08865092483057485,0.2,0.01,AD 1383,0.33,16.65,12.53,2.39,0.0612,0,Y,0.00656,       ,       , ,N,N,N,    ,0.039939999999999996,1.8595099999999998,2,15.46,0,2,All,2M,Simbad,127.646517,16.321543,2.39,Gaia DR2 658736180914476672,6.587361809144767e+17,2015.5,127.64639423697699,0.06460311068689588,16.321451809396436,0.04772968837686617,6.451747430673528,0.08865092483057485,72.77699279785156,-29.87198421497225,0.13731251365511826,-11.476653177763598,0.08349649137708696,-0.41314494609832764,0.0977381020784378,0.02323690615594387,0.24528776109218597,-0.17202812433242798,0.10435505956411362,-0.31422483921051025,0.5661551356315613,-0.15742142498493195,-0.3770393133163452,343.24041748046875,0.28512640781497084,4.5960458025559205,0.0,0.0,6569.943145963673,6.7181526654324815,16.14446258544922,1326.483247365516,9.356050414887916,17.544633865356445,8261.23966090101,21.6986740061435,14.969306945800781,2.575326919555664,1.4001712799072266,1.1751556396484375,0.0,,NOT_AVAILABLE,208.55785466815513,29.09304740883083,125.92682105272604,-2.5464189171908136,3926.820068359375,3268.0,4431.375,0.1054999977350235,0.09200000017881393,0.25679999589920044,0.060499999672174454,0.052400000393390656,0.18479999899864197,,,,,,,211729756.0,127.646517,16.321543,154.350354408223,152.250683882119,156.50768158197,420.033313320604,1.0,1.0,2MASS J08303516+1619173,5,STAR,1.0,0.0,3628.0,144.0,-144.0,5.0,0.07,-0.05,0.006,0.1,-0.18,0.29,0.06,-0.07,0.29,0.07,-0.09,15.458,999999.0,JHK,N/A,N/A,0.15534228078638354,2.39,2.575326919555664,0.7
10,8,11731,658033215026842368,211734093,129.1355150483757,16.383949593358686,14.624638,0.002,15.622285,13.635796,5.1566481048636525,0.04285005106143857,0.01,0.01,AD 2182,0.58,14.81,11.51,18.22,0.3548,0,N,0.0076, 7.7446, 0.3470,0,Y,N,N,    ,0.00773,0.23048000000000002,K,14.65,1,2,All,2M,Simbad,129.135678,16.383992000000006,18.22,Gaia DR2 658033215026842368,6.580332150268424e+17,2015.5,129.1355150483757,0.03132396985210674,16.383949593358686,0.02193619326048975,5.156648104863652,0.04285005106143857,120.34170532226562,-34.150524509942265,0.06869187539154252,-10.187681621704339,0.0427896418722525,-0.3524149954319,-0.11201915889978409,-0.15016566216945648,0.14403262734413147,0.09448381513357162,0.15011070668697357,-0.24356557428836823,0.571790337562561,-0.23671789467334747,-0.3948279619216919,192.781005859375,0.0,0.0,1.0,0.0,26637.363116140692,12.209696098634597,14.624637603759766,7791.866071771052,37.73691254949796,15.622284889221191,28213.020634158907,57.36102091327922,13.635795593261719,1.9864892959594727,0.9976472854614258,0.9888420104980469,0.0,,NOT_AVAILABLE,209.11616174789646,30.43868435283578,127.29703611939823,-2.1326012407539383,3841.0,3695.0,4655.78271484375,0.5922999978065491,0.3540000021457672,0.8421000242233276,0.295199990272522,0.1770000010728836,0.396699994802475,0.6117517352104187,0.4163690209388733,0.6610509753227234,0.07338754087686539,0.07201353460550308,0.07476154714822769,211734093.0,129.135678,16.383992,192.860096365459,191.26730097645,194.479161319348,411.651606204616,1.0,1.0,2MASS J08363256+1623024,5,STAR,1.0,0.0,3764.0,76.0,-61.0,4.91,0.08,-0.02,0.007,0.1,-0.1,0.37,0.03,-0.06,0.4,0.04,-0.06,14.646,999999.0,gri,N/A,N/A,0.0338799368459083,18.22,1.9864892959594727,0.7
11,9,11901,610158378513683712,211738707,132.33473544776726,16.448424322228316,17.785631,0.01,19.620901,16.430141,5.476050398607058,0.16885682667049565,0.2,0.01,AD 3703,0.19,18.73,13.62,0.3,0.1439,0,Y,0.00788, 0.1126, 0.0221,1,M,M,N,    ,0.01541,0.05008,2,16.75,0,2,All,2M,Simbad,132.334904,16.448442,0.3,Gaia DR2 610158378513683712,6.101583785136837e+17,2015.5,132.33473544776726,0.1464518665334794,16.448424322228316,0.09733006147232906,5.476050398607059,0.16885682667049565,32.430137634277344,-36.66149168622162,0.3054777902729633,-10.87903679833443,0.23697567225015082,-0.48101094365119934,0.0027225275989621878,-0.2625441253185272,0.38220980763435364,-0.07738040387630463,0.4597419500350952,-0.7249085903167725,0.1915433406829834,0.2008703052997589,-0.5693477988243103,389.4207763671875,0.42212619400146667,2.690379868702759,0.0,0.0,1449.0845016021362,1.7071593406281602,17.78563117980957,195.972379378187,7.870319818749437,19.620901107788086,2151.3531816368977,10.962986652071356,16.43014144897461,3.1907596588134766,1.8352699279785156,1.355489730834961,0.0,,NOT_AVAILABLE,210.40697735320944,33.305810585230645,130.2451358183037,-1.2735013581638055,,,,,,,,,,,,,,,,211738707.0,132.334904,16.448442,181.915328199653,176.44897890462,187.72468872709,395.419360263412,1.0,1.0,2MASS J08492037+1626543,5,STAR,1.0,0.0,3574.0,171.0,-171.0,5.02,0.1,-0.07,-0.056,0.15,-0.21,0.26,0.07,-0.07,0.25,0.1,-0.09,16.751,999999.0,JHK,N/A,N/A,0.10587523571249731,0.3,3.1907596588134766,0.7
12,10,12150,658156527832150400,211745306,131.04868989853094,16.54234466967776,17.603635999999995,0.01,19.334108,16.302904,5.010235022475769,0.14101078039206014,0.2,0.01,       ,0.19,18.39,13.62,1.04,0.1684,0,Y,0.00643,       ,       , ,N,M,N,    ,0.025710000000000004,0.8531799999999999,2,16.5,0,1,All,2M,Simbad,131.048851,16.542360000000002,1.04,Gaia DR2 658156527832150400,6.581565278321504e+17,2015.5,131.04868989853094,0.11620812620807389,16.54234466967776,0.06708617075925787,5.010235022475768,0.14101078039206016,35.53086471557617,-36.87559520841124,0.2317139370845631,-10.672512578893848,0.1331465639836406,-0.4193769693374634,-0.31492146849632263,-0.16516925394535065,0.24597427248954773,0.30778050422668457,0.32826653122901917,-0.6543800234794617,0.4384431540966034,-0.16382193565368652,-0.4111018478870392,519.2459106445312,0.3233843764555649,2.3992231679662797,0.0,0.0,1713.5324899427064,1.649080100783652,17.603635787963867,255.2183298043976,5.108888201693321,19.334108352661133,2418.8354281824927,7.26075506526811,16.30290412902832,3.0312042236328125,1.7304725646972656,1.3007316589355469,0.0,,NOT_AVAILABLE,209.75364163837202,32.197887243947015,129.03077361813487,-1.5092655860872053,,,,,,,,,,,,,,,,211745306.0,131.048851,16.54236,198.67722330448,193.218722719579,204.447199835921,401.351758724133,1.0,1.0,2MASS J08441172+1632324,16,STAR,1.0,0.0,,,,,,,,,,,,,,,,16.501,999999.0,JHK,N/A,N/A,0.11133453162329841,1.04,3.0312042236328125,0.7
16,12,12244,658776313088864896,211748286,127.78142753740255,16.584406607335268,16.671942,0.002,18.362347,15.382046,5.4764690099327495,0.18086009138969736,0.2,0.01,AD 1452,0.32,17.49,12.62,9.02,0.0514,0,N,0.00686,       ,       , ,N,Y,N,    ,0.0311,1.41995,2,15.97,0,2,All,2M,Simbad,127.781644,16.584473000000006,9.02,Gaia DR2 658776313088864896,6.587763130888649e+17,2015.5,127.78142753740254,0.1385471100937548,16.584406607335268,0.10385118813077374,5.476469009932749,0.18086009138969739,30.280139923095703,-39.21579623673309,0.2833742020647337,-13.702073296730887,0.18917215443491628,-0.5060878396034241,-0.38264983892440796,-0.33093512058258057,0.24382668733596802,0.3016696572303772,0.27881789207458496,-0.19744698703289032,0.5766518712043762,-0.3433755934238434,-0.4666381776332855,476.5425720214844,0.7389898200456713,17.42141962142138,0.0,0.0,4041.753737060849,6.277333953748828,16.67194175720215,624.6207566855273,15.872435481121782,18.362346649169922,5648.71635170237,27.959246685424848,15.38204574584961,2.9803009033203125,1.6904048919677734,1.289896011352539,0.0,,NOT_AVAILABLE,208.3354799933147,29.31267838230522,125.98843932858362,-2.2598419464965955,4570.2099609375,3995.513671875,4869.58984375,1.309000015258789,0.8632000088691711,1.7731000185012817,0.8044999837875366,0.5232999920845032,0.9937999844551086,,,,,,,211748286.0,127.781644,16.584473,181.945472381328,176.100359461361,188.18444515698,418.710464124501,1.0,1.0,2MASS J08310759+1635041,5,STAR,1.0,0.0,3947.0,212.0,-212.0,4.86,0.09,-0.07,-0.069,0.15,-0.24,0.42,0.08,-0.09,0.48,0.09,-0.12,15.971,999999.0,JHK,N/A,N/A,0.1415312665940854,9.02,2.9803009033203125,0.7
17,13,12916,658310704273685504,211771406,131.3927287411475,16.910995222967678,18.179413,0.01,19.935034,16.84473,5.081906199372519,0.2524412143737258,0.2,0.01,AD 3423,0.17,19.01,14.16,0.93,0.7201,0,Y,0.00804,       ,       , ,N,N,N,    ,0.05354,2.2976900000000002,2,18.35,0,2,All,2M,Simbad,131.392887,16.911013,0.93,Gaia DR2 658310704273685504,6.583107042736855e+17,2015.5,131.39272874114747,0.21984363652619066,16.910995222967678,0.15843463365800087,5.081906199372518,0.2524412143737258,20.13104820251465,-33.23747487717349,0.450874036408969,-10.087345293322613,0.30098536550610683,-0.6880946159362793,-0.37557023763656616,-0.5255379676818848,0.641226589679718,0.4890046715736389,0.6622962355613708,-0.8153759837150574,0.6598784327507019,-0.4161086082458496,-0.6498050093650818,424.5782470703125,0.6170591386909264,3.666823408725321,0.0,0.0,1008.280072782314,1.482192112383068,18.179412841796875,146.73765649510068,6.915067554612173,19.935033798217773,1468.5073050418473,10.802597537909886,16.844730377197266,3.090303421020508,1.7556209564208984,1.3346824645996094,0.0,,NOT_AVAILABLE,209.49412679681532,32.64113753921847,129.25213037048508,-1.0671260492125687,,,,,,,,,,,,,,,,211771406.0,131.392887,16.911013,196.385001459724,186.878757816023,206.891087037419,398.839577399231,1.0,1.0,2MASS J08453429+1654396,5,STAR,1.0,0.0,3580.0,116.0,-145.0,5.05,0.04,-0.04,-0.137,0.2,-0.2,0.23,0.04,-0.03,0.22,0.05,-0.03,18.351,999999.0,gri,N/A,N/A,0.09708020242011052,0.93,3.090303421020508,0.7
18,14,12977,658276035297795328,211773459,132.1361182948531,16.93986902447597,14.889292,0.002,16.03566,13.812378,5.214678668988625,0.07371542359157496,0.01,0.01,AD 3663,0.59,15.15,11.47,5.94,0.5864,0,Y,0.00765,       ,       , ,N,Y,N,cand,0.027010000000000003,1.20081,K,14.97,1,2,All,2M,Simbad,132.136293,16.939895,5.94,Gaia DR2 658276035297795328,6.582760352977953e+17,2015.5,132.1361182948531,0.062317836119475556,16.93986902447597,0.037336995361833186,5.214678668988625,0.07371542359157496,70.74066925048828,-35.195907217417286,0.1293439542638288,-8.262681114370938,0.08173323176779687,-0.4023301303386688,-0.040542736649513245,-0.1040610522031784,0.2562026083469391,0.07574145495891571,0.300255686044693,-0.6036785244941711,0.3640379011631012,-0.02902541309595108,-0.4459482729434967,1223.8638916015625,0.40393026368460294,30.478380570106506,0.0,0.0,20875.147134661107,14.33846683173135,14.889291763305664,5324.656565255864,25.013959381392482,16.035659790039062,23978.220768006602,49.65292707134929,13.8123779296875,2.2232818603515625,1.1463680267333984,1.076913833618164,0.0,,NOT_AVAILABLE,209.77645161563115,33.31235400726024,129.93034076561867,-0.8508316828564623,3569.0,3495.333251953125,4286.875,1.6109999418258667,1.351699948310852,1.8079999685287476,0.7928000092506409,0.6789000034332275,0.8842999935150146,0.6826513409614563,0.47316262125968933,0.7117293477058411,0.06812065839767456,0.06609636545181274,0.07014495134353638,211773459.0,132.136293,16.939895,190.763032442059,188.097204418396,193.504116525704,395.223991207186,1.0,1.0,2MASS J08483271+1656236,5,STAR,1.0,0.0,3654.0,87.0,-43.0,4.96,0.04,-0.05,0.103,0.06,-0.12,0.32,0.04,-0.04,0.34,0.06,-0.04,14.968,999999.0,gri,N/A,N/A,0.06590152475323147,5.94,2.2232818603515625,0.7
